bed_count,zip_cod,ccn,medicare_medicaid_eligible
234,30342,113301,True
96,30046,114004,True
45,30274,114035,True
103,31602,114036,True
0,30322,119800,True
0,30322,119802,True
0,30309,119803,True
585,96813,120001,True
213,96793,120002,True
53,96786,120004,True
142,96720,120005,True
160,96734,120006,True
250,96819,120011,True
71,96766,120014,True
60,96750,120019,True
33,96743,120028,True
229,96819,12006,False
25,96796,121300,True
21,96777,121301,True
25,96755,121302,True
13,96748,121303,True
11,96731,121304,True
4,96763,121305,True
14,96746,121306,True
9,96790,121308,True
9,96816,122001,True
88,96706,124001,True
0,96813,129801,True
226,83301,130002,True
145,83501,130003,True
544,83712,130006,True
150,83605,130014,True
330,83404,130018,True
43,83221,130065,True
87,83687,130071,True
8,83221,130073,True
88,83404,130074,True
14,83805,131301,True
18,83330,131302,True
18,83467,131305,True
25,83276,131309,True
25,83338,131310,True
25,83647,131311,True
15,83638,131312,True
13,83422,131313,True
16,83530,131315,True
25,83350,131319,True
23,83544,131320,True
25,83522,131321,True
25,83340,131323,True
14,83213,131324,True
25,83221,131325,True
25,83318,131326,True
25,83843,131327,True
48,83864,131328,True
40,83854,132001,True
60,83709,132002,True
30,83854,133027,True
40,83706,133028,True
92,83642,134017,True
144,61520,140001,True
222,62002,140002,True
443,60435,140007,True
80,61021,140012,True
305,61614,140013,True
30,62565,140019,True
210,60504,140029,True
255,60123,140030,True
146,62401,140032,True
125,62801,140034,True
98,61081,140043,True
175,62864,140046,True
263,60617,140048,True
296,62002,140052,True
731,62769,140053,True
436,60463,140062,True
296,60304,140063,True
166,61401,140064,True
730,61637,140067,True
162,60628,140068,True
427,60202,140080,True
176,60644,140083,True
388,60085,140084,True
782,60637,140088,True
316,61801,140091,True
210,61832,140093,True
95,60099,140100,True
89,60450,140101,True
210,60621,140103,True
50,61350,140110,True
268,61801,140113,True
284,60625,140114,True
218,60613,140115,True
177,60050,140116,True
443,60631,140117,True
727,60612,140119,True
132,61554,140120,True
261,60521,140122,True
918,60612,140124,True
406,62040,140125,True
176,61761,140127,True
222,60045,140130,True
372,62526,140135,True
60,62246,140137,True
96,60614,14013,False
151,62450,140147,True
562,62702,140148,True
507,60612,140150,True
182,60901,140155,True
57,60506,14015,False
203,61032,140160,True
81,61764,140161,True
180,61701,140162,True
140,62901,140164,True
94,60970,140167,True
300,60461,140172,True
315,60506,140174,True
336,60649,140177,True
298,60805,140179,True
493,60622,140180,True
137,60617,140181,True
997,60657,140182,True
92,62959,140184,True
260,62269,140187,True
203,61938,140189,True
582,60426,140191,True
284,60048,140202,True
695,60453,140208,True
485,61636,140209,True
118,60134,140211,True
277,60123,140217,True
638,60068,140223,True
402,60657,140224,True
397,61104,140228,True
254,61108,140233,True
431,61103,140239,True
361,60190,140242,True
299,60634,140251,True
483,60007,140258,True
71,61201,140280,True
894,60611,140281,True
98,60115,140286,True
366,60515,140288,True
151,62062,140289,True
342,60169,140290,True
154,60010,140291,True
186,60139,140292,True
222,60615,140300,True
25,62016,141300,True
16,61856,141301,True
19,61036,141302,True
25,61727,141303,True
25,62088,141306,True
17,62274,141307,True
15,62263,141308,True
18,61530,141309,True
25,61342,141310,True
15,62837,141311,True
25,61068,141312,True
25,62644,141313,True
23,60942,141316,True
23,61462,141318,True
25,61254,141319,True
16,62812,141321,True
15,62656,141322,True
25,61443,141325,True
25,62863,141327,True
25,61747,141330,True
25,62832,141331,True
25,62049,141332,True
22,62681,141333,True
25,60033,141335,True
25,61356,141337,True
25,62568,141339,True
25,60548,141340,True
25,62906,141342,True
25,62454,141343,True
25,62881,141345,True
25,62471,141346,True
25,62278,141348,True
25,62286,141349,True
25,62056,141350,True
25,62650,141352,True
69,60178,142006,True
258,60164,142008,True
94,60660,142009,True
238,60016,142011,True
113,60187,143027,True
65,61108,143028,True
34,62025,143029,True
40,62269,143030,True
60,60048,143031,True
136,60169,144031,True
0,60612,149803,True
0,60611,149806,True
0,61637,149807,True
0,60453,149809,True
536,46402,150002,True
215,46320,150004,True
227,46350,150006,True
241,47130,150009,True
167,46904,150010,True
99,46952,150011,True
310,46360,150015,True
396,46804,150017,True
600,46845,150021,True
103,47933,150022,True
123,46526,150026,True
90,47362,150030,True
301,46383,150035,True
69,46140,150037,True
165,47591,150042,True
278,47802,150046,True
191,46802,150047,True
297,47408,150051,True
1733,46202,150056,True
82,46158,150057,True
162,46060,150059,True
93,47274,150065,True
79,46714,150075,True
779,46260,150084,True
195,46016,150088,True
379,47303,150089,True
198,46311,150090,True
51,46176,150097,True
414,47750,150100,True
53,46534,150102,True
52,46052,150104,True
186,47905,150109,True
208,46307,150126,True
72,46580,150133,True
131,46825,150150,True
107,46290,150153,True
107,46032,150157,True
127,46123,150158,True
