bed_count,zip_cod,ccn,medicare_medicaid_eligible
699,33912,100220,True
309,32547,100223,True
271,33321,100224,True
365,32073,100226,True
250,33324,100228,True
301,33024,100230,True
515,32514,100231,True
99,32177,100232,True
233,33952,100236,True
288,33709,100238,True
282,32405,100242,True
431,33511,100243,True
291,33990,100244,True
398,34950,100246,True
455,33770,100248,True
128,34428,100249,True
100,34972,100252,True
248,33458,100253,True
288,32308,100254,True
290,34667,100256,True
536,33484,100258,True
112,33573,100259,True
207,34952,100260,True
350,34613,100264,True
300,34695,100265,True
77,32561,100266,True
100,34223,100267,True
195,33428,100268,True
204,33470,100269,True
218,33612,100271,True
235,33414,100275,True
200,33065,100276,True
32,33137,100277,True
486,33028,100281,True
125,33155,100284,True
178,33029,100285,True
275,34119,100286,True
333,33401,100287,True
420,33407,100288,True
206,33331,100289,True
307,32159,100290,True
119,32935,100291,True
58,32550,100292,True
281,33146,100296,True
24,32324,100298,True
120,34202,100299,True
84,34769,100302,True
313,32216,100307,True
19,32456,100313,True
133,33196,100314,True
84,32940,100315,True
152,32907,100316,True
169,33544,100319,True
76,34758,100320,True
134,32068,100321,True
64,32765,100329,True
42,32725,100330,True
64,32827,100350,True
110,34275,100359,True
165,33328,100360,True
56,32259,100361,True
72,32207,10039,False
58,33825,10043,False
116,33155,10056,False
350,32608,10057,False
640,33612,10063,False
504,33125,10064,False
192,33410,10065,False
100,32827,10099,False
25,33873,101300,True
25,32054,101303,True
25,32424,101304,True
25,32320,101305,True
20,32425,101307,True
59,32428,101308,True
25,33440,101309,True
25,32340,101311,True
8,33050,101312,True
25,33070,101313,True
47,33128,102001,True
99,32809,102003,True
155,33611,102009,True
238,33301,102010,True
107,32207,102012,True
102,33603,102013,True
73,32043,102015,True
30,32401,102017,True
40,34240,102018,True
31,34474,102019,True
29,32308,102020,True
48,34698,102021,True
44,32610,102022,True
60,33461,102023,True
54,32504,102024,True
70,33418,102025,True
